date,weight,fat,muscle
03.12.17,60.0,,
10.12.17,61.0,,
17.12.17,62.0,,
26.12.17,63.0,,
02.01.18,63.6,,
27.01.18,64.2,,
05.02.18,64.5,,
12.02.18,66.2,,
19.02.18,66.4,,
27.02.18,66.8,,
05.03.18,66.0,,
13.03.18,67.0,,
19.03.18,66.6,,
27.03.18,67.0,,
02.04.18,67.0,,
09.04.18,67.4,,
16.04.18,67.9,,
24.04.18,68.3,,
30.04.18,67.6,,
07.05.18,67.7,,
14.05.18,67.8,,
21.05.18,65.6,,
05.06.18,63.8,,
22.06.18,63.0,,
21.08.18,61.0,,
28.08.18,61.4,14.1,
04.09.18,62.8,14.9,
10.09.18,62.0,14.1,
24.09.18,61.5,14.2,
08.10.18,62.1,14.5,
18.10.18,62.4,15.4,44.0
26.10.18,61.7,14.4,46.0
05.11.18,62.1,14.7,44.7
24.11.18,61.6,14.9,44.6
04.12.18,62.0,14.8,44.7
08.12.18,62.6,15.1,44.5
17.12.18,62.4,15.1,44.5
31.12.18,61.8,15.8,44.1
07.01.19,61.1,13.9,45.1
13.01.19,61.4,14.2,45.0
21.01.19,62.4,14.8,44.7
27.01.19,61.8,14.4,44.9
04.02.19,63.3,15.5,44.3
10.02.19,62.4,14.8,44.7
17.02.19,61.9,14.4,44.9
12.04.19,61.8,14.3,45.0
01.05.19,62.8,15.5,44.6
10.07.19,60.5,13.6,45.3
21.07.19,60.5,13.3,45.5
14.08.19,61.8,14.4,44.9
08.09.19,59.2,12.4,45.9
29.09.19,60.7,13.6,45.3
27.10.19,61.5,14.8,44.6
09.11.19,61.5,14.4,44.9
06.12.19,60.3,13.3,45.5
26.12.19,61.8,15.0,44.6
04.02.20,62.1,14.7,44.7
05.03.20,62.1,14.9,44.7
08.04.20,61.6,14.4,44.9
03.10.20,56.6,10.4,46.9
10.10.20,56.1,10.4,46.9
17.10.20,57.5,11.1,46.5
24.10.20,57.5,11.6,46.2
31.10.20,56.5,11.0,46.5
07.11.20,57.7,11.5,46.3
14.11.20,57.7,11.4,46.4
21.11.20,57.4,11.2,46.5
28.11.20,57.9,11.6,46.2
04.12.20,57.2,11.2,46.5
12.12.20,57.2,10.9,46.6
19.12.20,57.7,11.3,46.3
26.12.20,57.2,11.1,46.5
03.01.21,57.7,11.5,46.3
